"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"12","n 2022, #Yinzhou's #GDP exceeded 273.48 billion yuan ($40.31 billion), an increase of 3% compared to 2021, accordin… https://t.co/f6MQEkaR0t",FALSE,0,NA,2023-02-01 08:18:25,TRUE,NA,"1620698069682786304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zww8826",0,FALSE,FALSE,NA,NA
"13","RT @thehappywire: Under the new regime, taxpayers will have the option to choose between the existing income tax rates and the new, lower r…",FALSE,0,NA,2023-02-01 08:18:22,FALSE,NA,"1620698058316206082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thesaurus_exprt",1,TRUE,FALSE,NA,NA
"14","RT @NewsGramHindi: #Budget2023 
आज की बड़ी घोषणाएं
 1-) वित्त मंत्री @nsitharaman ने पूंजी निवेश को 33% बढ़ाकर 10 लाख करोड़ रुपए करने की घो…",FALSE,0,NA,2023-02-01 08:18:20,FALSE,NA,"1620698046379204608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MedBoundHQ",1,TRUE,FALSE,NA,NA
"15","RT @IvanSnurer: The Twenty Twenties: High Inflation and Slow Growth
#WallStreet #Economy #Inflation #GDP #Quantalytica https://t.co/40PyHXG…",FALSE,0,NA,2023-02-01 08:17:56,FALSE,NA,"1620697948681285632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ronaldkoknl",3,TRUE,FALSE,NA,NA
"16","RT @meetdrvinay: Nominal #GDP for BE has been projected at Rs 302 lakh crore with a 10.5% Growth over the estimated nominal GDP of Rs 273 l…",FALSE,0,NA,2023-02-01 08:17:38,FALSE,NA,"1620697873733263360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lukoggokul",1,TRUE,FALSE,NA,NA
"17","RT @CNBCTV18Live: #BudgetWithCNBCTV18 | Expect capex budget to be  around ₹9.5-10 lk cr, #GDP growth rate estimates to  be similar to that…",FALSE,0,NA,2023-02-01 08:16:29,FALSE,NA,"1620697583118344192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","4LineLegal",8,TRUE,FALSE,NA,NA
"18","RT @NavtejTv: gdp growth rate projected to be at 7% - nirmala sitaraman @nsitharaman #Budget2023 #BudgetSession #BudgetSession2023 #GDP #GD…",FALSE,0,NA,2023-02-01 08:15:22,FALSE,NA,"1620697302460686337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rohitnavtejtv",1,TRUE,FALSE,NA,NA
"19","RT @CNBCTV18Live: #BudgetWithCNBCTV18 | #FY24 NOMINAL GDP TARGET AT 10.5% 

#GDP
@nsitharaman
#CNBCTV18LIVE #Budget2023 #BudgetSession http…",FALSE,0,NA,2023-02-01 08:14:07,FALSE,NA,"1620696986331787266",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaffer10jun",10,TRUE,FALSE,NA,NA
"20","The government’s fiscal deficit for 2023-24 is fixed at 5.9 percent of gross domestic product (GDP), demonstrating… https://t.co/m14ZagTEM5",FALSE,0,NA,2023-02-01 08:14:05,TRUE,NA,"1620696978354233344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GoldenPiTech",0,FALSE,FALSE,NA,NA
"21","The sector, which along with construction accounts for more than a quarter of #China's #GDP, has been hit hard sinc… https://t.co/bUpleIpNTr",FALSE,0,"KashmirViews9",2023-02-01 08:13:12,TRUE,"1620696750167314437","1620696755456323584","1481153526898528258","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KashmirViews9",0,FALSE,FALSE,NA,NA
"22","Sensible move by #Budget2023 in not trying to #tax the rich more by hiking top #incometax  rates
#India #GDP… https://t.co/FAsrzs890i",FALSE,0,NA,2023-02-01 08:11:27,TRUE,NA,"1620696317235449856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RiteshEconomist",0,FALSE,FALSE,NA,NA
"23","2022 top ten provincial #GDP in China (trillion yuan)
#Guangdong Province has been maintaining China's top-GDP-perf… https://t.co/PmDpCVz4Wq",FALSE,0,NA,2023-02-01 08:10:44,TRUE,NA,"1620696134762250240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Cao_Li_CHN",0,FALSE,FALSE,NA,NA
"24","Under the new regime, taxpayers will have the option to choose between the existing income tax rates and the new, l… https://t.co/K8f6LqMfQo",FALSE,0,NA,2023-02-01 08:10:24,TRUE,NA,"1620696051698249730",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","thehappywire",1,FALSE,FALSE,NA,NA
